x,y,t,intensity
2662,803,0,12
2663,803,0,12
2664,803,0,13
2665,803,0,14
2666,803,0,15
2667,803,0,17
2668,803,0,18
2669,803,0,18
2670,803,0,18
2671,803,0,19
2672,803,0,20
2673,803,0,20
2674,803,0,20
2675,803,0,20
2676,803,0,21
2677,803,0,21
2678,803,0,20
2679,803,0,19
2680,803,0,19
2681,803,0,18
2682,803,0,18
2683,803,0,20
2684,803,0,22
2685,803,0,24
2686,803,0,24
2687,803,0,24
2688,803,0,24
2689,803,0,23
2690,803,0,23
2691,803,0,23
2692,803,0,21
2693,803,0,21
2694,803,0,20
2695,803,0,20
2696,803,0,21
2697,803,0,21
2698,803,0,22
2699,803,0,23
2700,803,0,24
2701,803,0,23
2702,803,0,22
2703,803,0,22
2704,803,0,21
2705,803,0,20
2706,803,0,20
2707,803,0,20
2708,803,0,20
2709,803,0,21
2710,803,0,22
2711,803,0,23
2712,803,0,24
2713,803,0,24
2714,803,0,24
2715,803,0,23
2716,803,0,22
2717,803,0,20
2718,803,0,20
2719,803,0,21
2720,803,0,22
2721,803,0,24
2722,803,0,26
2723,803,0,27
2724,803,0,26
2725,803,0,26
2726,803,0,25
2727,803,0,24
2728,803,0,24
2729,803,0,24
2730,803,0,24
2731,803,0,25
2732,803,0,25
2733,803,0,26
2734,803,0,26
2735,803,0,27
2736,803,0,27
2737,803,0,27
2738,803,0,28
2739,803,0,28
2740,803,0,28
2741,803,0,28
2742,803,0,28
2743,803,0,28
2744,803,0,28
2745,803,0,28
2746,803,0,28
2747,803,0,29
2748,803,0,29
2749,803,0,29
2450,804,0,180
2451,804,0,181
2452,804,0,184
2453,804,0,187
2454,804,0,191
2455,804,0,194
2456,804,0,196
2457,804,0,197
2458,804,0,197
2459,804,0,195
2460,804,0,195
2461,804,0,193
2462,804,0,193
2463,804,0,193
2464,804,0,195
2465,804,0,195
2466,804,0,195
2467,804,0,195
2468,804,0,194
2469,804,0,195
2470,804,0,195
2471,804,0,195
2472,804,0,193
2473,804,0,192
2474,804,0,191
2475,804,0,191
2476,804,0,189
2477,804,0,188
2478,804,0,187
2479,804,0,185
2480,804,0,183
2481,804,0,182
2482,804,0,182
2483,804,0,180
2484,804,0,179
2485,804,0,175
2486,804,0,171
2487,804,0,168
2488,804,0,166
2489,804,0,167
2490,804,0,166
2491,804,0,165
2492,804,0,163
2493,804,0,161
2494,804,0,159
2495,804,0,159
2496,804,0,161
2497,804,0,162
2498,804,0,163
2499,804,0,164
2500,804,0,163
2501,804,0,163
2502,804,0,162
2503,804,0,161
2504,804,0,161
2505,804,0,162
2506,804,0,163
2507,804,0,164
2508,804,0,165
2509,804,0,166
2510,804,0,168
2511,804,0,167
2512,804,0,165
2513,804,0,162
2514,804,0,160
2515,804,0,158
2516,804,0,152
2517,804,0,148
2518,804,0,142
2519,804,0,136
2520,804,0,134
2521,804,0,131
2522,804,0,129
2523,804,0,119
2524,804,0,108
2525,804,0,95
2526,804,0,84
2527,804,0,74
2528,804,0,66
2529,804,0,62
2530,804,0,58
2531,804,0,59
2532,804,0,56
2533,804,0,53
2534,804,0,51
2535,804,0,50
2536,804,0,50
2537,804,0,48
2538,804,0,46
2539,804,0,43
2540,804,0,40
2541,804,0,38
2542,804,0,35
2543,804,0,33
2544,804,0,31
2545,804,0,29
2546,804,0,27
2547,804,0,27
